date,msg_total,msg_text,msg_voice,msg_photo,msg_sticker,msg_location,msg_video,msg_wi,msg_mobi,msg_vina,msg_vtel,msg_gt,msg_fg,msg_ot,hour
2015-09-01,13794530,12961863,53323,193047,566787,401,2810,8591674,1022675,627260,3025006,10402,334059,183454,00:00
2015-09-02,16168154,15239475,54294,228145,625076,470,3074,9821079,1202635,756102,3795328,12446,361505,219059,00:00
2015-09-03,13413012,12590201,43314,232563,529261,389,2874,8314559,1003263,625459,2970004,8387,304534,186806,00:00
2015-09-04,13235059,12423139,46637,188550,557822,401,2511,8241018,983811,611512,2921008,9438,287409,180863,00:00
2015-09-05,15642161,14707848,52907,216476,643513,482,2950,9720612,1159422,729621,3469049,12380,345289,205788,00:00
2015-09-06,18930835,17825384,65936,268770,744870,561,3542,11471646,1369097,890312,4486624,14216,441169,257771,00:00
9/7/2015,16718400,15709646,61481,245200,679931,560,3113,10323336,1202380,776515,3792621,9290,385074,229184,00:00
9/8/2015,15619769,14685221,58174,216755,638722,443,2813,9644775,1125436,712713,3546916,12532,363679,213718,00:00
9/9/2015,13249159,12451079,50803,181289,547432,369,2848,8315681,907019,601029,2911761,9518,343465,160686,00:00
9/10/2015,13246186,12441112,52744,184942,549451,390,2557,8121221,908303,628746,3075844,8987,341340,161745,00:00
9/11/2015,15553276,14600263,61971,220489,647982,428,3455,9587982,1100758,710835,3568825,10881,374989,199006,00:00
9/12/2015,16455626,15475381,59844,229697,668053,444,3212,10098574,1129953,765272,3834490,10174,400369,216794,00:00
9/13/2015,16460881,15496089,61083,234183,648408,548,3131,10040654,1176381,758076,3842271,12554,410072,220873,00:00
9/14/2015,13624647,12784589,53011,210938,557643,427,2850,8519480,965567,607658,3024694,7288,330477,169483,00:00
9/15/2015,12870532,12080036,52141,186218,532832,378,2676,7964579,885898,588450,2924772,7615,342236,156982,00:00
9/16/2015,12393921,11629726,49282,180807,516477,389,2364,7709786,834052,574037,2788858,8213,326355,152620,00:00
9/17/2015,13594199,12750975,52508,196344,574520,413,2514,8456869,948323,613763,3060971,8922,339236,166115,00:00
9/18/2015,15065539,14131619,59761,217926,634524,450,3281,9287933,1101331,697440,3414058,12260,363442,189075,00:00
9/19/2015,15987208,1,60107,233455,666582,446,3070,9795968,1135629,740258,3708594,12018,390740,204001,00:00
9/20/2015,18227692,1,67260,272874,730376,576,3333,10908926,1274811,863244,4462757,13955,457860,246139,00:00
9/21/2015,16583882,1,60034,259458,695960,458,3219,10207124,1163182,774412,3825395,10615,383384,219770,00:00
